ra0,rAngst,es1u,es1g
0.1,0.0529,1,1
0.2,0.1058,1,1
0.3,0.1587,1,1
0.4,0.2116,1,1
0.5,0.2645,1,1
0.6,0.3174,1,1
0.7,0.3703,1,1.61
0.7355,0.389075,28.08296519,-0.006808321
0.8,0.4232,1,-2.51
0.9,0.4761,1,-5.55
1,0.529,1,-7.84
1.1,0.5819,1,-9.59
1.2,0.6348,1,-10.95
1.3,0.6877,1,-12
1.4,0.7406,1,-12.82
1.5,0.7935,1,-13.46
1.6,0.8464,1,-13.97
1.625,0.859625,-0.009829819,-14.07488188
1.7,0.8993,-1.05,-14.36
1.8,0.9522,-2.3,-14.66
1.9,1.0051,-3.4,-14.89
2,1.058,-4.38,-15.06
2.1,1.1109,-5.25,-15.19
2.2,1.1638,-6.02,-15.27
2.3,1.2167,-6.72,-15.33
2.4,1.2696,-7.34,-15.36
2.5,1.3225,-7.91,-15.36
2.6,1.3754,-8.41,-15.35
2.7,1.4283,-8.87,-15.33
2.8,1.4812,-9.28,-15.3
2.9,1.5341,-9.66,-15.26
3,1.587,-10,-15.21
3.1,1.6399,-10.31,-15.15
3.2,1.6928,-10.59,-15.1
3.3,1.7457,-10.84,-15.04
3.4,1.7986,-11.07,-14.97
3.5,1.8515,-11.29,-14.91
3.6,1.9044,-11.48,-14.85
3.7,1.9573,-11.66,-14.78
3.8,2.0102,-11.82,-14.72
3.9,2.0631,-11.97,-14.66
4,2.116,-12.1,-14.6
4.1,2.1689,-12.22,-14.55
4.2,2.2218,-12.34,-14.49
4.3,2.2747,-12.44,-14.44
4.4,2.3276,-12.54,-14.38
4.5,2.3805,-12.62,-14.34
4.6,2.4334,-12.7,-14.29
4.7,2.4863,-12.78,-14.24
4.8,2.5392,-12.84,-14.2
4.9,2.5921,-12.91,-14.16
5,2.645,-12.96,-14.12
5.1,2.6979,-13.01,-14.09
5.2,2.7508,-13.06,-14.05
5.3,2.8037,-13.11,-14.02
5.4,2.8566,-13.15,-13.99
5.5,2.9095,-13.18,-13.96
5.6,2.9624,-13.22,-13.94
5.7,3.0153,-13.25,-13.91
5.8,3.0682,-13.28,-13.89
5.9,3.1211,-13.3,-13.87
6,3.174,-13.33,-13.85
6.1,3.2269,-13.35,-13.83
6.2,3.2798,-13.37,-13.81
6.3,3.3327,-13.39,-13.79
6.4,3.3856,-13.41,-13.78
6.5,3.4385,-13.42,-13.77
6.6,3.4914,-13.44,-13.75
6.7,3.5443,-13.45,-13.74
6.8,3.5972,-13.46,-13.73
6.9,3.6501,-13.47,-13.72
7,3.703,-13.49,-13.71
7.1,3.7559,-13.49,-13.7
7.2,3.8088,-13.5,-13.69
7.3,3.8617,-13.51,-13.69
7.4,3.9146,-13.52,-13.68
7.5,3.9675,-13.53,-13.67
7.6,4.0204,-13.53,-13.67
7.7,4.0733,-13.54,-13.66
7.8,4.1262,-13.54,-13.66
7.9,4.1791,-13.55,-13.65
8,4.232,-13.55,-13.65
8.1,4.2849,-13.56,-13.64
8.2,4.3378,-13.56,-13.64
8.3,4.3907,-13.56,-13.64
8.4,4.4436,-13.57,-13.63
8.5,4.4965,-13.57,-13.63
8.6,4.5494,-13.57,-13.63
8.7,4.6023,-13.57,-13.63
8.8,4.6552,-13.58,-13.62
8.9,4.7081,-13.58,-13.62
9,4.761,-13.58,-13.62
9.1,4.8139,-13.58,-13.62
9.2,4.8668,-13.58,-13.62
9.3,4.9197,-13.58,-13.62
9.4,4.9726,-13.59,-13.61
9.5,5.0255,-13.59,-13.61
9.6,5.0784,-13.59,-13.61
9.7,5.1313,-13.59,-13.61
9.8,5.1842,-13.59,-13.61
9.9,5.2371,-13.59,-13.61
10,5.29,-13.59,-13.61
10.1,5.3429,-13.59,-13.61
10.2,5.3958,-13.59,-13.61
10.3,5.4487,-13.59,-13.61
10.4,5.5016,-13.59,-13.61
10.5,5.5545,-13.59,-13.61
10.6,5.6074,-13.6,-13.6
10.7,5.6603,-13.6,-13.6
10.8,5.7132,-13.6,-13.6
10.9,5.7661,-13.6,-13.6
11,5.819,-13.6,-13.6
11.1,5.8719,-13.6,-13.6
11.2,5.9248,-13.6,-13.6
11.3,5.9777,-13.6,-13.6
11.4,6.0306,-13.6,-13.6
11.5,6.0835,-13.6,-13.6
11.6,6.1364,-13.6,-13.6
11.7,6.1893,-13.6,-13.6
11.8,6.2422,-13.6,-13.6
11.9,6.2951,-13.6,-13.6
12,6.348,-13.6,-13.6
12.1,6.4009,-13.6,-13.6
12.2,6.4538,-13.6,-13.6
12.3,6.5067,-13.6,-13.6
12.4,6.5596,-13.6,-13.6
12.5,6.6125,-13.6,-13.6
12.6,6.6654,-13.6,-13.6
12.7,6.7183,-13.6,-13.6
12.8,6.7712,-13.6,-13.6
12.9,6.8241,-13.6,-13.6
13,6.877,-13.6,-13.6
