r,S,J,K,es1g,es1u
0.0529,0.998337285,9.006038284,8.988051686,280.6388437,231.3232424
0.1058,0.993393314,4.021920276,3.984489665,140.5033711,95.64805903
0.1587,0.985288234,2.378183756,2.321230425,91.69874984,50.78564616
0.2116,0.974198467,1.572651374,1.497048103,66.10103869,28.69353187
0.2645,0.960340211,1.103638324,1.010884433,50.01369798,15.7393048
0.3174,0.943956014,0.803184565,0.695161406,38.82721207,7.36498589
0.3703,0.925303949,0.598878341,0.477667768,30.53791021,1.609055269
0.4232,0.904648981,0.454267165,0.322019091,24.12531923,-2.513975024
0.4761,0.882256162,0.34896432,0.207802271,19.00984003,-5.554309111
0.529,0.858385363,0.270670566,0.12262648,14.83490771,-7.84356224
0.5819,0.83328728,0.211533302,0.058504615,11.36738276,-9.593518623
0.6348,0.807200488,0.166316248,0.010039807,8.447354474,-10.94568205
0.6877,0.780349367,0.1314071,-0.02655438,5.960846232,-11.9980706
0.7406,0.75294273,0.104245822,-0.054016478,3.824035097,-12.82060309
0.7935,0.72517302,0.082978447,-0.07437672,1.973654955,-13.46438057
0.8464,0.697215975,0.066238581,-0.089170962,0.360906927,-13.96751996
0.8993,0.669230643,0.053004605,-0.099580431,-1.052546941,-14.35894991
0.9522,0.641359686,0.042503568,-0.10652595,-2.297302711,-14.66095501
1.0051,0.613729901,0.034144862,-0.110733258,-3.398110459,-14.89092506
1.058,0.586452894,0.027473458,-0.112779403,-4.375227864,-15.06258467
1.1109,0.559625877,0.022136328,-0.113126415,-5.245406937,-15.18687439
1.1638,0.533332536,0.017857949,-0.112146227,-6.022626701,-15.27259293
1.2167,0.507643945,0.014422199,-0.110139425,-6.718646241,-15.32687229
1.2696,0.482619511,0.011658808,-0.107349578,-7.343428325,-15.35553398
1.3225,0.458307909,0.009433126,-0.103974332,-7.905468195,-15.36335929
1.3754,0.434748011,0.00763832,-0.100174108,-8.412051793,-15.35429652
1.4283,0.411969793,0.006189389,-0.096078992,-8.869460769,-15.33162148
1.4812,0.389995202,0.005018529,-0.091794237,-9.283136818,-15.29806288
1.5341,0.368838985,0.004071539,-0.087404701,-9.657814597,-15.25590112
1.587,0.348509479,0.003305003,-0.082978447,-9.997630099,-15.20704668
1.6399,0.329009341,0.002684086,-0.078569684,-10.30620967,-15.15310291
1.6928,0.310336246,0.002180794,-0.07422118,-10.58674365,-15.09541654
1.7457,0.292483517,0.001772601,-0.069966251,-10.84204762,-15.03511871
1.7986,0.275440721,0.001441356,-0.065830411,-11.07461372,-14.97315852
1.8515,0.259194208,0.00117242,-0.061832737,-11.28665379,-14.91033055
1.9044,0.243727604,0.000953971,-0.057987011,-11.4801359,-14.84729779
1.9573,0.229022267,0.000776456,-0.054302664,-11.65681537,-14.78461065
2.0102,0.215057687,0.000632149,-0.050785577,-11.81826124,-14.72272302
2.0631,0.201811857,0.000514795,-0.047438736,-11.96587894,-14.66200582
2.116,0.189261602,0.000419328,-0.044262794,-12.10092986,-14.60275857
2.1689,0.177382869,0.000341642,-0.04125653,-12.22454811,-14.54521925
2.2218,0.166150991,0.000278407,-0.03841724,-12.33775518,-14.48957284
2.2747,0.155540915,0.000226921,-0.035741057,-12.44147258,-14.43595871
2.3276,0.145527402,0.000184991,-0.033223226,-12.53653291,-14.38447709
2.3805,0.136085208,0.000150834,-0.030858324,-12.62368949,-14.3351946
2.4334,0.127189228,0.000123004,-0.028640448,-12.70362483,-14.28814929
2.4863,0.118814637,0.000100325,-0.02656337,-12.77695808,-14.24335484
2.5392,0.11093699,8.18389E-05,-0.02462066,-12.84425158,-14.20080449
2.5921,0.103532327,6.67683E-05,-0.022805794,-12.90601659,-14.16047429
2.645,0.09657724,5.44799E-05,-0.021112234,-12.96271849,-14.1223261
2.6979,0.090048947,4.44586E-05,-0.019533498,-13.01478125,-14.08631015
2.7508,0.083925333,3.62849E-05,-0.018063212,-13.06259149,-14.05236734
2.8037,0.078184999,2.96171E-05,-0.016695155,-13.10650206,-14.02043121
2.8566,0.072807285,2.41772E-05,-0.015423288,-13.14683527,-13.99042968
2.9095,0.067772293,1.97384E-05,-0.014241779,-13.1838857,-13.96228652
2.9624,0.063060903,1.6116E-05,-0.013145025,-13.21792283,-13.93592274
3.0153,0.058654774,1.31596E-05,-0.012127657,-13.24919329,-13.91125759
3.0682,0.054536353,1.07464E-05,-0.011184553,-13.27792295,-13.88820963
3.1211,0.050688861,8.77652E-06,-0.010310837,-13.30431877,-13.86669745
3.174,0.047096291,7.16825E-06,-0.009501883,-13.32857047,-13.8466404
3.2269,0.043743397,5.85512E-06,-0.008753312,-13.35085207,-13.82795913
3.2798,0.040615672,4.78288E-06,-0.008060986,-13.37132323,-13.81057603
3.3327,0.037699337,3.90726E-06,-0.007421003,-13.3901305,-13.79441567
3.3856,0.034981319,3.19214E-06,-0.006829693,-13.40740842,-13.77940499
3.4385,0.032449229,2.60807E-06,-0.006283605,-13.4232806,-13.76547362
3.4914,0.030091341,2.131E-06,-0.005779503,-13.43786056,-13.75255397
3.5443,0.027896567,1.74129E-06,-0.005314355,-13.45125264,-13.74058136
3.5972,0.025854434,1.42292E-06,-0.004885324,-13.46355273,-13.7294941
3.6501,0.02395506,1.16282E-06,-0.004489757,-13.47484898,-13.71923352
3.703,0.022189128,9.50319E-07,-0.00412518,-13.48522243,-13.70974393
3.7559,0.020547863,7.76685E-07,-0.003789285,-13.49474762,-13.70097265
3.8088,0.019023006,6.34806E-07,-0.003479919,-13.50349307,-13.69286988
3.8617,0.017606792,5.18867E-07,-0.003195082,-13.51152183,-13.68538871
3.9146,0.016291924,4.2412E-07,-0.002932912,-13.51889185,-13.678485
3.9675,0.015071549,3.46689E-07,-0.002691677,-13.52565648,-13.67211727
4.0204,0.013939241,2.83406E-07,-0.002469772,-13.53186475,-13.66624665
4.0733,0.012888971,2.31683E-07,-0.002265704,-13.53756178,-13.66083673
4.1262,0.011915093,1.89406E-07,-0.002078092,-13.54278908,-13.65585345
4.1791,0.011012319,1.5485E-07,-0.001905653,-13.54758481,-13.65126501
4.232,0.0101757,1.26602E-07,-0.001747201,-13.55198409,-13.64704175
4.2849,0.009400607,1.03511E-07,-0.001601637,-13.5560192,-13.64315603
4.3378,0.008682715,8.46339E-08,-0.001467945,-13.55971985,-13.63958213
4.3907,0.008017981,6.92017E-08,-0.001345185,-13.56311334,-13.63629612
4.4436,0.007402632,5.6585E-08,-0.001232487,-13.56622479,-13.63327578
4.4965,0.006833146,4.62699E-08,-0.00112905,-13.56907728,-13.63050049
4.5494,0.006306237,3.78362E-08,-0.001034132,-13.57169206,-13.6279511
4.6023,0.005818842,3.09406E-08,-0.00094705,-13.57408863,-13.6256099
4.6552,0.005368107,2.53023E-08,-0.000867172,-13.57628493,-13.62346045
4.7081,0.004951373,2.0692E-08,-0.000793916,-13.57829745,-13.62148757
4.761,0.004566163,1.69222E-08,-0.000726747,-13.58014135,-13.6196772
4.8139,0.004210173,1.38395E-08,-0.000665168,-13.58183055,-13.61801635
4.8668,0.00388126,1.13186E-08,-0.000608726,-13.58337784,-13.61649302
4.9197,0.00357743,9.25714E-09,-0.000557,-13.58479496,-13.61509613
4.9726,0.00329683,7.57128E-09,-0.000509604,-13.58609272,-13.61381547
5.0255,0.003037737,6.19256E-09,-0.000466182,-13.58728103,-13.61264159
5.0784,0.002798551,5.06501E-09,-0.000426409,-13.58836899,-13.61156582
5.1313,0.002577788,4.14285E-09,-0.000389982,-13.58936496,-13.61058013
5.1842,0.002374068,3.38864E-09,-0.000356625,-13.59027661,-13.60967715
5.2371,0.002186111,2.77179E-09,-0.000326085,-13.59111099,-13.60885008
5.29,0.00201273,2.26727E-09,-0.000298126,-13.59187455,-13.60809268
5.3429,0.001852825,1.85461E-09,-0.000272535,-13.59257324,-13.60739919
5.3958,0.001705374,1.51709E-09,-0.000249114,-13.59321248,-13.60676432
5.4487,0.001569432,1.24101E-09,-0.000227682,-13.59379728,-13.60618321
5.5016,0.001444123,1.01519E-09,-0.000208072,-13.59433222,-13.60565138
5.5545,0.001328634,8.30471E-10,-0.000190133,-13.59482149,-13.60516472
5.6074,0.001222213,6.79374E-10,-0.000173723,-13.59526895,-13.60471947
5.6603,0.001124166,5.55776E-10,-0.000158714,-13.59567812,-13.60431215
5.7132,0.001033847,4.54671E-10,-0.000144988,-13.59605224,-13.60393958
5.7661,0.000950661,3.71964E-10,-0.000132436,-13.59639429,-13.60359884
5.819,0.000874056,3.04306E-10,-0.000120961,-13.59670698,-13.60328725
5.8719,0.000803522,2.48957E-10,-0.00011047,-13.5969928,-13.60300236
5.9248,0.000738589,2.03679E-10,-0.00010088,-13.59725404,-13.6027419
5.9777,0.00067882,1.66637E-10,-9.21144E-05,-13.59749278,-13.60250381
6.0306,0.000623812,1.36334E-10,-8.41036E-05,-13.59771095,-13.60228619
6.0835,0.000573194,1.11542E-10,-7.67832E-05,-13.5979103,-13.6020873
6.1364,0.000526622,9.126E-11,-7.00942E-05,-13.59809243,-13.60190556
6.1893,0.000483778,7.46667E-11,-6.39829E-05,-13.59825882,-13.60173949
6.2422,0.00044437,6.10911E-11,-5.83999E-05,-13.59841082,-13.60158777
6.2951,0.000408126,4.99844E-11,-5.32999E-05,-13.59854965,-13.60144917
6.348,0.000374797,4.08973E-11,-4.86417E-05,-13.59867645,-13.60132256
6.4009,0.000344152,3.34626E-11,-4.43873E-05,-13.59879225,-13.60120692
6.4538,0.00031598,2.73797E-11,-4.0502E-05,-13.598898,-13.60110131
6.5067,0.000290083,2.24028E-11,-3.69542E-05,-13.59899455,-13.60100486
6.5596,0.00026628,1.83307E-11,-3.37149E-05,-13.59908271,-13.6009168
6.6125,0.000244406,1.4999E-11,-3.07573E-05,-13.5991632,-13.60083639
6.6654,0.000224306,1.22729E-11,-2.80573E-05,-13.59923667,-13.60076299
6.7183,0.000205839,1.00424E-11,-2.55926E-05,-13.59930374,-13.60069598
6.7712,0.000188874,8.21732E-12,-2.33429E-05,-13.59936495,-13.60063481
6.8241,0.00017329,6.724E-12,-2.12896E-05,-13.59942082,-13.60057898
6.877,0.000158977,5.5021E-12,-1.94157E-05,-13.59947181,-13.60052802
6.9299,0.000145832,4.50228E-12,-1.77056E-05,-13.59951834,-13.60048152
6.9828,0.000133761,3.68417E-12,-1.61451E-05,-13.59956079,-13.60043909
7.0357,0.000122679,3.01475E-12,-1.47213E-05,-13.59959953,-13.60040037
7.0886,0.000112505,2.46698E-12,-1.34222E-05,-13.59963487,-13.60036504
7.1415,0.000103165,2.01875E-12,-1.22371E-05,-13.59966712,-13.60033281
7.1944,9.45919E-05,1.65198E-12,-1.11559E-05,-13.59969653,-13.60030341
7.2473,8.67239E-05,1.35185E-12,-1.01697E-05,-13.59972336,-13.60027659
7.3002,7.95036E-05,1.10625E-12,-9.27021E-06,-13.59974783,-13.60025213
7.3531,7.28783E-05,9.05284E-13,-8.44978E-06,-13.59977015,-13.60022982
7.406,6.67995E-05,7.40829E-13,-7.70154E-06,-13.5997905,-13.60020947
7.4589,6.12226E-05,6.06252E-13,-7.01918E-06,-13.59980907,-13.60019091
7.5118,5.61068E-05,4.96126E-13,-6.39695E-06,-13.59982599,-13.60017399
7.5647,5.14144E-05,4.06007E-13,-5.82957E-06,-13.59984143,-13.60015856
7.6176,4.71106E-05,3.32259E-13,-5.31224E-06,-13.5998555,-13.60014449
7.6705,4.31638E-05,2.71909E-13,-4.84058E-06,-13.59986833,-13.60013166
7.7234,3.95445E-05,2.22522E-13,-4.41058E-06,-13.59988003,-13.60011996
7.7763,3.62259E-05,1.82106E-13,-4.01857E-06,-13.59989069,-13.6001093
7.8292,3.31833E-05,1.49032E-13,-3.66124E-06,-13.59990041,-13.60009958
7.8821,3.0394E-05,1.21965E-13,-3.33552E-06,-13.59990927,-13.60009072
7.935,2.78371E-05,9.98146E-14,-3.03863E-06,-13.59991735,-13.60008265
7.9879,2.54935E-05,8.16875E-14,-2.76804E-06,-13.59992471,-13.60007529
8.0408,2.33454E-05,6.68527E-14,-2.52143E-06,-13.59993142,-13.60006858
8.0937,2.13769E-05,5.47123E-14,-2.29669E-06,-13.59993753,-13.60006247
8.1466,1.95729E-05,4.47768E-14,-2.09189E-06,-13.5999431,-13.6000569
8.1995,1.792E-05,3.66457E-14,-1.90527E-06,-13.59994818,-13.60005182
8.2524,1.64055E-05,2.99913E-14,-1.73522E-06,-13.5999528,-13.6000472
8.3053,1.5018E-05,2.45454E-14,-1.58028E-06,-13.59995702,-13.60004298
8.3582,1.37469E-05,2.00885E-14,-1.43912E-06,-13.59996086,-13.60003914
8.4111,1.25826E-05,1.64409E-14,-1.31051E-06,-13.59996435,-13.60003565
8.464,1.15161E-05,1.34557E-14,-1.19334E-06,-13.59996754,-13.60003246
