series,nstart,nfinal,eV,nm
Lyman,1,2,10.20,121.6
Lyman,1,3,12.09,102.6
Lyman,1,4,12.75,97.3
Lyman,1,5,13.06,95.0
Lyman,1,6,13.22,93.8
Lyman,1,7,13.32,93.1
Lyman,1,8,13.39,92.6
Lyman,1,9,13.43,92.3
Lyman,1,10,13.46,92.1
Lyman,1,11,13.49,91.9
Lyman,1,12,13.51,91.8
Lyman,1,13,13.52,91.7
Lyman,1,14,13.53,91.6
Lyman,1,15,13.54,91.6
Lyman,1,16,13.55,91.5
Balmer,2,3,1.89,656.5
Balmer,2,4,2.55,486.3
Balmer,2,5,2.86,434.2
Balmer,2,6,3.02,410.3
Balmer,2,7,3.12,397.1
Balmer,2,8,3.19,389.0
Balmer,2,9,3.23,383.7
Balmer,2,10,3.26,379.9
Balmer,2,11,3.29,377.2
Balmer,2,12,3.31,375.1
Balmer,2,13,3.32,373.6
Balmer,2,14,3.33,372.3
Balmer,2,15,3.34,371.3
Balmer,2,16,3.35,370.5
Paschen,3,4,0.66,1875.6
Paschen,3,5,0.97,1282.2
Paschen,3,6,1.13,1094.1
Paschen,3,7,1.23,1005.2
Paschen,3,8,1.30,954.9
Paschen,3,9,1.34,923.2
Paschen,3,10,1.38,901.7
Paschen,3,11,1.40,886.5
Paschen,3,12,1.42,875.3
Paschen,3,13,1.43,866.7
Paschen,3,14,1.44,860.1
Paschen,3,15,1.45,854.8
Paschen,3,16,1.46,850.5
